06/08/2026,-3.40,7-ELEVEN 3321 REDFERN NSW,6189.00
05/08/2026,-76.20,WOOLWORTHS 2456 SYDNEY NSW,6192.40
03/08/2026,-5.50,SQ *THE LOCAL ROASTERS,6268.60
01/08/2026,-120.00,BUNNINGS WAREHOUSE 341 ALEXANDRIA NSW,6274.10
25/07/2026,-35.00,DAN MURPHYS 5521 BONDI NSW,6394.10
24/07/2026,-8.50,UBER *TRIP HELP.UBER.COM,6429.10
23/07/2026,1500.00,SALARY XYZ PTY LTD,6437.60
22/07/2026,-45.00,WOOLWORTHS 2456 SYDNEY NSW,4937.60
21/07/2026,-12.90,MENULOG*ORDER 998877,4982.60
20/07/2026,-4.50,EFTPOS PURCHASE GLORIA JEANS 1234 SURRY HILLS NSW,4995.50
